vin,list_price,sale_price,list_date,sale_date,cost_price,model_id,salesperson_id,dealership_id
XT4GE21RXBLA14307,53935,52737,2021-01-01,2021-01-01,47943,2400,105,2000
XT4GE41RXBLA27274,49975,48864,2021-05-21,2021-05-21,44422,2400,104,2002
XT4GE61RXBLA15420,48241,47169,2021-05-21,2021-05-26,42881,2400,102,2004
XT4GE71RXBLA16275,49463,48363,2021-07-29,2021-07-29,43967,2400,101,2001
XT4GE41RXBLA17285,42045,41111,2021-07-29,2021-07-29,37373,2400,101,2001
XT4GE61RXBLA15301,49466,48367,2021-07-29,2021-08-30,43970,2400,103,2001
XT4UE11DXBLA12342,49846,48738,2021-03-15,2021-03-30,44307,2400,105,2000
XT4GE61RXBLA15319,43863,42888,2021-02-01,2021-02-15,38989,2400,112,2005
XT4GE71RXBLA16306,42363,41421,2021-06-01,2021-06-01,37656,2400,107,2000
XT4GE61RXBLA15321,43910,42934,2021-04-25,2021-04-29,39031,2400,108,2003
XT4UE11DXBLA12283,47160,46112,2021-04-25,2021-04-25,41920,2400,109,2002
XT4GE21RXBLA14295,50469,49348,2021-03-15,2021-03-15,44862,2400,102,2004
XT4GE21RXBLA24295,46251,45223,2021-03-15,2021-03-15,41112,2400,106,2005
XT4GE61RXBLA15412,48605,47525,2021-07-29,2021-07-31,43204,2400,101,2001
XT4GE61RXBLA15441,44064,43085,2021-03-15,2021-03-15,39168,2400,110,2004
XT4GE71RXBLA16308,45336,44329,2021-04-25,2021-05-02,40299,2400,112,2005
XT4GE41RXBLA27262,46334,45305,2021-05-21,2021-05-25,41186,2400,104,2002
XT4GE61RXBLA15316,44120,43139,2021-03-01,2021-03-01,39217,2400,112,2005
XT4GE21RXBLA14324,48895,47809,2021-04-01,2021-04-01,43463,2400,111,2003
XT4GE41RXBLA27293,41229,40312,2021-07-29,2021-07-30,36648,2400,102,2004
XT4UE11DXBLA12298,43718,42747,2021-01-01,2021-01-02,38861,2400,105,2000
XT4GE61RXBLA15348,38744,37883,2021-07-29,2021-07-30,34439,2400,109,2002
XT4GE41RXBLA27290,43956,42979,2021-07-29,2021-07-29,39072,2400,103,2001
XT4GE71RXBLA16293,49333,48237,2021-01-01,2021-01-21,43852,2400,106,2005
XT4GE21RXBLA24313,42144,41207,2021-01-01,2021-02-01,37461,2400,110,2004
XT4GE21RXBLA14261,41704,40777,2021-03-01,2021-05-30,37070,2400,108,2003
XT4GE11RXBLA13283,47734,46673,2021-01-01,2021-01-31,42430,2400,107,2000
XT4GE41RXBLA17262,48063,46995,2021-01-01,2021-02-03,42722,2400,102,2004
XT4UE11DXBLA12274,40575,39673,2021-04-25,2021-04-25,36066,2400,109,2002
XT4GE61RXBLA15325,52600,51431,2021-04-25,2021-04-30,46755,2400,108,2003
XT4UE11DXBLA12280,42452,41509,2021-05-21,2021-05-21,37735,2400,109,2002
XT4UE11DXBLA12266,42626,41679,2021-03-15,2021-03-15,37890,2400,103,2001
XT4GE61RXBLA15354,46645,45609,2021-06-01,2021-06-01,41463,2400,101,2001
XT4GE61RXBLA15396,43479,42513,2021-06-01,2021-06-01,38648,2400,106,2005
XT4GE71RXBLA26297,45482,44471,2021-02-01,2021-02-15,40428,2400,101,2001
XT4GE61RXBLA15436,46925,45882,2021-04-25,2021-05-01,41711,2400,106,2005
XT4UE11DXBLA12357,42451,41508,2021-03-15,2021-03-15,37734,2400,103,2001
XT4GE61RXBLA15402,46590,45554,2021-01-01,2021-01-01,41413,2400,109,2002
XT4GE41RXBLA17314,44261,43278,2021-03-15,2021-03-15,39343,2400,104,2002
XT4GE71RXBLA26293,49212,48118,2021-03-15,2021-03-14,43744,2400,111,2003
XT4GE61RXBLA15292,43747,42775,2021-03-15,2021-03-15,38886,2400,112,2005
XT4GE71RXBLA16268,45832,44814,2021-01-01,2021-01-03,40740,2400,112,2005
XT4GE61RXBLA15294,43848,42874,2021-04-25,2021-04-30,38976,2400,103,2001
XT4GE41RXBLA17305,50746,49619,2021-03-01,2021-03-01,45108,2400,112,2005
XT4GE21RXBLA24316,44036,43057,2021-04-01,2021-04-21,39143,2400,111,2003
XT4UE11DXBLA12316,47624,46566,2021-01-01,2021-01-01,42333,2400,105,2000
XT4GE71RXBLA16262,43051,42095,2021-05-21,2021-05-21,38268,2400,111,2003
XT4GE61RXBLA15393,48566,47486,2021-05-21,2021-05-25,43169,2400,102,2004
XT4GE61RXBLA15417,44736,43742,2021-05-21,2021-05-21,39766,2400,107,2000
XT4UE11DXBLA12333,45645,44630,2021-07-29,2021-07-29,40573,2400,103,2001
XT4GE21RXBLA14292,52855,51680,2021-03-01,2021-05-30,46982,2400,108,2003
XT4GE71RXBLA16297,51188,50050,2021-01-01,2021-04-21,45500,2400,108,2003
XT4GE61RXBLA25441,40208,39314,2021-06-01,2021-06-05,35740,2400,104,2002
XT4GE71RXBLA16312,43994,43017,2021-04-25,2021-04-25,39106,2400,110,2004
XT4GE41RXBLA27271,50799,49670,2021-04-25,2021-05-07,45155,2400,105,2000
XT4GE71RXBLA26281,45571,44558,2021-04-25,2021-04-25,40507,2400,102,2004
XT4GE41RXBLA17308,46301,45272,2021-05-21,2021-05-21,41157,2400,109,2002
XT4GE21RXBLA14310,48058,46990,2021-07-29,2021-07-29,42719,2400,112,2005
XT4GE61RXBLA15266,46918,45876,2021-03-15,2021-03-15,41705,2400,110,2004
XT4GE61RXBLA15429,43668,42698,2021-06-01,2021-06-03,38816,2400,101,2001
XT4UE11DXBLA12309,41601,40676,2021-03-15,2021-03-30,36979,2400,109,2002
XT4GE11RXBLA13272,51260,50121,2021-03-15,2021-03-15,45565,2400,103,2001
XT4GE21RXBLA24301,46021,44998,2021-03-15,2021-03-21,40908,2400,112,2005
XT4UE11DXBLA12331,46414,45382,2021-05-21,2021-05-21,41257,2400,107,2000
XT4GE41RXBLA27278,45553,44541,2021-07-29,2021-07-29,40492,2400,102,2004
XT4GE21RXBLA14280,47938,46873,2021-03-01,2021-03-01,42612,2400,112,2005
XT4UE11DXBLA12289,50035,48923,2021-04-01,2021-04-01,44476,2400,105,2000
XT4UE11DXBLA12336,45517,44506,2021-07-29,2021-07-29,40460,2400,104,2002
XT4GE71RXBLA16283,44614,43622,2021-03-01,2021-03-01,39657,2400,107,2000
XT4GE21RXBLA14269,41835,40905,2021-07-29,2021-07-29,37187,2400,109,2002
XT4GE41RXBLA17281,46253,45225,2021-07-29,2021-07-29,41113,2400,111,2003
XT4UE11DXBLA12366,48554,47475,2021-01-01,2021-01-01,43159,2400,106,2005
XT4GE71RXBLA26265,42904,41951,2021-03-15,2021-03-30,38137,2400,105,2000
XT4GE71RXBLA26278,51913,50759,2021-01-01,2021-02-01,46145,2400,110,2004
XT4GE61RXBLA15263,44879,43882,2021-04-25,2021-04-25,39893,2400,109,2002
XT4GE61RXBLA15377,40520,39620,2021-01-01,2021-01-01,36018,2400,108,2003
XT4GE61RXBLA15405,51448,50305,2021-07-29,2021-07-29,45732,2400,101,2001
XT4GE61RXBLA25447,46915,45872,2021-01-01,2021-01-01,41702,2400,101,2001
XT4GE61RXBLA15370,40768,39862,2021-06-01,2021-06-01,36238,2400,102,2004
XT4GE21RXBLA14265,44219,43236,2021-06-01,2021-06-03,39306,2400,103,2001
XT4GE41RXBLA17266,48748,47664,2021-04-25,2021-04-25,43331,2400,112,2005
XT4GE71RXBLA16270,42087,41152,2021-01-01,2021-01-30,37411,2400,106,2005
XT4GE61RXBLA15433,38377,37524,2021-03-15,2021-03-30,34113,2400,109,2002
XT4GE61RXBLA15387,47996,46929,2021-04-25,2021-04-30,42663,2400,106,2005
XT4GE71RXBLA26290,46334,45304,2021-01-01,2021-01-03,41186,2400,108,2003
XT4GE61RXBLA15328,44856,43860,2021-05-21,2021-05-22,39872,2400,109,2002
XT4GE21RXBLA24310,47997,46930,2021-05-21,2021-05-25,42664,2400,111,2003
XT4GE41RXBLA27299,48100,47031,2021-01-01,2021-01-01,42756,2400,109,2002
XT4GE61RXBLA15308,47911,46846,2021-03-15,2021-03-15,42587,2400,112,2005
XT4GE61RXBLA15339,48900,47814,2021-03-01,2021-03-01,43467,2400,104,2002
XT4GE61RXBLA15332,48520,47442,2021-03-01,2021-03-10,43129,2400,110,2004
XT4GE41RXBLA17268,48369,47294,2021-05-21,2021-05-27,42995,2400,110,2004
XT4UE11DXBLA12325,48273,47200,2021-05-21,2021-05-21,42909,2400,110,2004
XT4GE61RXBLA15306,46366,45336,2021-07-29,2021-07-29,41214,2400,101,2001
XT4GE61RXBLA15267,45632,44618,2021-07-29,2021-07-29,40562,2400,107,2000
XT4GE41RXBLA17271,52898,51722,2021-07-29,2021-08-02,47020,2400,101,2001
XT4GE41RXBLA17274,43141,42182,2021-07-29,2021-07-29,38348,2400,104,2002
XT4GE61RXBLA15444,44141,43160,2021-01-01,2021-02-01,39237,2400,104,2002
XT4GE21RXBLA24298,42323,41382,2021-01-01,2021-01-13,37620,2400,107,2000
XT4GE61RXBLA15351,45415,44406,2021-05-21,2021-05-21,40369,2400,101,2001
XT4GE71RXBLA26287,45794,44777,2021-01-01,2021-01-01,40706,2400,101,2001
XT4GE61RXBLA15415,46428,45396,2021-06-01,2021-06-01,41269,2400,110,2004
XT4GE71RXBLA16265,46552,45518,2021-03-15,2021-03-15,41380,2400,101,2001
XT4GE21RXBLA14289,51039,49905,2021-03-15,2021-03-16,45368,2400,101,2001
XT4UE11DXBLA12312,45790,44772,2021-03-15,2021-03-15,40702,2400,101,2001
XT4GE71RXBLA26262,50582,49458,2021-06-01,2021-06-01,44962,2400,107,2000
XT4GE61RXBLA15399,43152,42193,2021-06-01,2021-06-03,38358,2400,107,2000
XT4GE21RXBLA14268,50001,48889,2021-01-01,2021-02-01,44445,2400,101,2001
XT4GE21RXBLA14277,53321,52136,2021-02-01,2021-02-15,47396,2400,101,2001
XT4UE11DXBLA12271,45612,44599,2021-03-15,2021-03-30,40544,2400,104,2002
XT4GE41RXBLA17311,43175,42215,2021-07-29,2021-07-29,38377,2400,107,2000
XT4GE71RXBLA26275,43291,42329,2021-04-25,2021-04-25,38481,2400,104,2002
XT4GE61RXBLA15366,41428,40507,2021-05-21,2021-05-21,36825,2400,101,2001
XT4UE11DXBLA12351,38110,37263,2021-07-29,2021-07-29,33875,2400,104,2002
XT4GE61RXBLA15373,49743,48637,2021-03-15,2021-03-16,44216,2400,107,2000
XT4GE21RXBLA14298,46759,45720,2021-03-01,2021-03-01,41563,2400,110,2004
XT4GE71RXBLA16287,48166,47096,2021-01-01,2021-01-01,42815,2400,104,2002
XT4GE71RXBLA16278,47071,46025,2021-01-01,2021-01-03,41841,2400,110,2004
XT4UE11DXBLA12321,42181,41244,2021-02-01,2021-02-21,37495,2400,107,2000
XT4GE61RXBLA15285,42673,41725,2021-02-01,2021-02-15,37931,2400,101,2001
XT4GE61RXBLA15423,47999,46933,2021-03-15,2021-03-30,42666,2400,104,2002
XT4GE21RXBLA14327,52949,51772,2021-01-01,2021-01-02,47066,2400,107,2000
XT4GE61RXBLA15390,47234,46184,2021-06-01,2021-06-01,41986,2400,110,2004
XT4GE61RXBLA15384,45743,44727,2021-06-01,2021-06-03,40661,2400,104,2002
XT4GE11RXBLA13280,44024,43046,2021-07-29,2021-07-29,39132,2400,104,2002
XT4GE21RXBLA14286,46000,44977,2021-01-01,2021-01-30,40889,2400,110,2004
XT4GE61RXBLA15447,41350,40431,2021-01-01,2021-02-02,36756,2400,107,2000
XT4UE11DXBLA12263,47258,46208,2021-05-21,2021-05-21,42007,2400,104,2002
XT4GE61RXBLA15409,40502,39602,2021-07-29,2021-07-29,36001,2400,104,2002
XT4GE41RXBLA17293,47224,46174,2021-07-29,2021-07-29,41977,2400,104,2002
XT4GE21RXBLA14283,41559,40636,2021-01-01,2021-01-01,36941,2400,107,2000
XT4GE41RXBLA17296,40987,40076,2021-03-15,2021-03-15,36432,2400,107,2000
XT4GE61RXBLA15344,44882,43885,2021-03-01,2021-03-01,39895,2400,104,2002
XT4GE11RXBLA13263,43305,42342,2021-03-01,2021-03-02,38493,2400,110,2004
XT4UE11DXBLA12319,46420,45389,2021-03-15,2021-03-15,41263,2400,107,2000
XT4GE61RXBLA15313,48558,47479,2021-06-01,2021-06-01,43163,2400,104,2002
XT4UE11DXBLA12303,45668,44653,2021-03-01,2021-03-01,40594,2400,104,2002
XT4GE41RXBLA27268,45028,44027,2021-07-29,2021-07-29,40025,2400,107,2000
XT4GE61RXBLA15345,41137,40223,2021-05-21,2021-05-21,36566,2400,107,2000
XT4GE61RXBLA15357,43356,42392,2021-07-29,2021-08-30,38539,2400,107,2000
XT4GE71RXBLA16290,40727,39822,2021-07-29,2021-07-29,36202,2400,107,2000
XT4GE61RXBLA15273,53554,52364,2021-03-15,2021-03-30,47603,2400,104,2002
XT4UE11DXBLA12294,45820,44802,2021-01-01,2021-01-30,40729,2400,107,2000
XT4GE61RXBLA15378,40776,39869,2021-06-01,2021-06-10,36245,2400,107,2000
XT4UE11DXBLA12363,40372,39475,2021-03-15,2021-03-15,35887,2400,104,2002
XT4GE71RXBLA16294,46074,45050,2021-07-29,2021-07-31,40955,2400,104,2002
XT4GE21RXBLA24292,52500,51333,2021-01-01,2021-01-01,46667,2400,101,2001
XT4UE11DXBLA12299,52322,51160,2021-01-01,2021-01-01,46509,2400,110,2004
XT4UE11DXBLA12360,46209,45182,2021-06-01,2021-06-01,41075,2400,101,2001
XT4GE41RXBLA27281,39921,39034,2021-04-25,2021-05-05,35485,2400,107,2000
XT4UE11DXBLA12328,48093,47024,2021-01-01,2021-02-15,42749,2400,101,2001
XT4GE11RXBLA13277,41905,40974,2021-03-15,2021-03-15,37249,2400,101,2001
XT661RXBLA15350,54627,53413,2021-03-01,2021-03-01,48558,2600,112,2005
XT661RXBLA25447,53769,52574,2021-07-29,2021-07-29,47795,2600,104,2002
XT611DXBLA12330,60666,59318,2021-07-29,2021-07-29,53926,2600,103,2001
XT611DXBLA12356,59338,58020,2021-07-29,2021-07-29,52745,2600,109,2002
XT611DXBLA12341,56748,55487,2021-02-01,2021-02-15,50443,2600,112,2005
XT621RXBLA24301,52900,51725,2021-01-01,2021-01-30,47022,2600,110,2004
XT661RXBLA15282,60726,59376,2021-04-25,2021-04-26,53979,2600,109,2002
XT641RXBLA27299,56792,55530,2021-04-25,2021-05-03,50482,2600,107,2000
XT611DXBLA12304,56567,55310,2021-04-25,2021-05-06,50282,2600,105,2000
XT621RXBLA14268,57293,56020,2021-04-25,2021-04-25,50927,2600,101,2001
XT641RXBLA27294,53435,52247,2021-04-25,2021-04-25,47497,2600,102,2004
XT661RXBLA15328,53664,52472,2021-04-25,2021-05-01,47702,2600,107,2000
XT621RXBLA24305,59087,57774,2021-07-29,2021-07-29,52522,2600,102,2004
XT621RXBLA14318,56031,54786,2021-01-01,2021-01-01,49805,2600,110,2004
XT661RXBLA15269,54790,53573,2021-01-01,2021-01-04,48703,2600,109,2002
XT621RXBLA14277,60045,58711,2021-06-01,2021-06-01,53373,2600,101,2001
XT641RXBLA27290,59596,58272,2021-06-01,2021-06-01,52974,2600,110,2004
XT641RXBLA17316,61421,60056,2021-07-29,2021-07-29,54597,2600,112,2005
XT671RXBLA16275,51988,50833,2021-04-25,2021-04-25,46211,2600,107,2000
XT661RXBLA15385,59650,58324,2021-04-25,2021-04-30,53022,2600,105,2000
XT641RXBLA27283,52605,51436,2021-07-29,2021-07-29,46760,2600,109,2002
XT661RXBLA15346,51938,50784,2021-07-29,2021-07-29,46167,2600,105,2000
XT671RXBLA26292,52940,51764,2021-07-29,2021-07-29,47058,2600,101,2001
XT621RXBLA14285,61423,60058,2021-07-29,2021-07-29,54598,2600,103,2001
XT611DXBLA12326,58736,57430,2021-01-01,2021-01-21,52209,2600,112,2005
XT611DXBLA12273,57504,56226,2021-01-01,2021-01-01,51115,2600,101,2001
XT661RXBLA15432,54710,53494,2021-05-21,2021-05-30,48631,2600,108,2003
XT611DXBLA12334,56209,54960,2021-04-25,2021-04-25,49963,2600,105,2000
XT621RXBLA24300,56538,55282,2021-04-25,2021-04-25,50256,2600,110,2004
XT611DXBLA12352,54340,53132,2021-04-25,2021-05-01,48302,2600,111,2003
XT641RXBLA17286,53861,52664,2021-04-25,2021-04-28,47876,2600,107,2000
XT621RXBLA14327,55072,53848,2021-03-15,2021-03-16,48953,2600,102,2004
XT661RXBLA15431,57608,56328,2021-03-15,2021-03-15,51207,2600,106,2005
XT611DXBLA12309,52598,51429,2021-04-25,2021-04-26,46754,2600,103,2001
XT621RXBLA14261,53101,51921,2021-02-01,2021-02-15,47201,2600,101,2001
XT621RXBLA14312,54467,53257,2021-05-21,2021-05-21,48415,2600,107,2000
XT611DXBLA12263,54988,53766,2021-04-25,2021-04-25,48878,2600,110,2004
XT671RXBLA26268,58113,56822,2021-07-29,2021-07-30,51656,2600,108,2003
XT621RXBLA14313,53572,52382,2021-02-01,2021-03-15,47620,2600,110,2004
XT641RXBLA17265,51859,50706,2021-01-01,2021-01-10,46097,2600,103,2001
XT621RXBLA14326,55138,53913,2021-02-01,2021-02-15,49012,2600,106,2005
XT661RXBLA15362,57083,55814,2021-01-01,2021-01-01,50740,2600,101,2001
XT621RXBLA14272,57890,56604,2021-04-25,2021-04-26,51458,2600,102,2004
XT661RXBLA15417,55390,54160,2021-01-01,2021-01-03,49236,2600,107,2000
XT611DXBLA12331,55183,53957,2021-06-01,2021-06-03,49052,2600,103,2001
XT621RXBLA14295,59073,57760,2021-06-01,2021-06-01,52509,2600,101,2001
XT661RXBLA15292,56504,55248,2021-06-01,2021-06-01,50226,2600,108,2003
XT661RXBLA25446,59366,58047,2021-04-25,2021-04-30,52770,2600,103,2001
XT611DXBLA12268,56151,54903,2021-03-01,2021-03-22,49912,2600,105,2000
XT671RXBLA16297,52970,51793,2021-03-15,2021-03-30,47085,2600,109,2002
XT611DXBLA12361,57870,56584,2021-04-25,2021-05-08,51440,2600,104,2002
XT671RXBLA26280,55258,54030,2021-05-21,2021-05-22,49118,2600,107,2000
XT671RXBLA26281,56233,54983,2021-05-21,2021-05-21,49985,2600,111,2003
XT671RXBLA26298,60715,59366,2021-04-25,2021-04-30,53969,2600,110,2004
XT661RXBLA15270,56993,55727,2021-04-25,2021-04-30,50661,2600,103,2001
XT661RXBLA15315,56890,55626,2021-04-01,2021-04-01,50569,2600,101,2001
XT671RXBLA26263,55642,54405,2021-04-01,2021-04-21,49459,2600,111,2003
XT661RXBLA15294,55954,54711,2021-07-29,2021-08-02,49737,2600,106,2005
XT661RXBLA15318,56529,55272,2021-01-01,2021-01-01,50248,2600,111,2003
XT611RXBLA13267,55325,54095,2021-03-01,2021-03-01,49177,2600,105,2000
XT641RXBLA27274,58565,57263,2021-04-25,2021-04-25,52057,2600,106,2005
XT661RXBLA15327,55372,54142,2021-05-21,2021-05-21,49220,2600,107,2000
XT671RXBLA26288,55097,53872,2021-07-29,2021-07-29,48975,2600,109,2002
XT621RXBLA14321,53389,52203,2021-02-01,2021-02-15,47457,2600,112,2005
XT661RXBLA15274,55704,54466,2021-01-01,2021-01-02,49515,2600,108,2003
XT621RXBLA14276,57844,56559,2021-05-21,2021-05-21,51417,2600,108,2003
XT671RXBLA16274,56645,55387,2021-06-01,2021-06-01,50351,2600,105,2000
XT661RXBLA15424,59137,57822,2021-06-01,2021-06-01,52566,2600,109,2002
XT661RXBLA15309,59601,58277,2021-04-25,2021-05-06,52979,2600,105,2000
XT661RXBLA15399,57310,56036,2021-04-25,2021-04-25,50942,2600,101,2001
XT661RXBLA15373,57888,56601,2021-04-25,2021-04-27,51456,2600,107,2000
XT621RXBLA14299,57464,56187,2021-05-21,2021-05-21,51079,2600,105,2000
XT661RXBLA15419,55586,54351,2021-05-21,2021-05-23,49410,2600,101,2001
XT661RXBLA15302,51830,50678,2021-05-21,2021-05-26,46071,2600,101,2001
XT621RXBLA24296,53703,52509,2021-01-01,2021-01-01,47736,2600,112,2005
XT641RXBLA17292,56096,54849,2021-01-01,2021-01-01,49863,2600,101,2001
XT621RXBLA14267,56879,55615,2021-04-25,2021-04-28,50559,2600,102,2004
XT621RXBLA14286,52380,51216,2021-03-15,2021-03-15,46560,2600,108,2003
XT611DXBLA12319,53202,52020,2021-01-01,2021-01-01,47291,2600,107,2000
XT641RXBLA27273,60649,59301,2021-01-01,2021-01-01,53910,2600,110,2004
XT611DXBLA12313,53739,52545,2021-05-21,2021-05-21,47768,2600,104,2002
XT611RXBLA13261,54664,53449,2021-07-29,2021-07-30,48590,2600,104,2002
XT611RXBLA13275,59065,57752,2021-07-29,2021-07-29,52502,2600,105,2000
XT661RXBLA15394,59960,58628,2021-07-29,2021-09-12,53298,2600,101,2001
XT611RXBLA13273,52913,51737,2021-07-29,2021-07-29,47034,2600,103,2001
XT661RXBLA15413,51941,50787,2021-01-01,2021-01-03,46170,2600,112,2005
XT611DXBLA12261,50666,49540,2021-01-01,2021-01-14,45036,2600,103,2001
XT611DXBLA12321,56001,54756,2021-01-01,2021-01-21,49778,2600,112,2005
XT661RXBLA15337,59337,58018,2021-03-15,2021-03-15,52744,2600,106,2005
XT661RXBLA15355,53111,51931,2021-06-01,2021-06-01,47210,2600,101,2001
XT661RXBLA15437,56071,54825,2021-01-01,2021-01-08,49841,2600,102,2004
XT671RXBLA16304,55825,54584,2021-03-01,2021-03-22,49622,2600,105,2000
XT621RXBLA14325,60928,59574,2021-04-25,2021-04-30,54158,2600,111,2003
XT621RXBLA14281,58402,57104,2021-04-25,2021-05-02,51913,2600,106,2005
XT621RXBLA14304,59694,58367,2021-03-15,2021-03-15,53061,2600,106,2005
XT661RXBLA15440,59475,58154,2021-04-01,2021-04-21,52867,2600,107,2000
XT611DXBLA12289,54298,53091,2021-07-29,2021-08-01,48265,2600,102,2004
XT621RXBLA14294,56210,54961,2021-04-25,2021-04-27,49965,2600,106,2005
XT621RXBLA24324,53290,52106,2021-04-25,2021-04-30,47369,2600,112,2005
XT641RXBLA27262,55127,53902,2021-05-21,2021-05-21,49001,2600,104,2002
XT641RXBLA17278,60774,59423,2021-05-21,2021-05-21,54021,2600,107,2000
XT671RXBLA16287,53073,51894,2021-07-29,2021-07-29,47176,2600,103,2001
XT621RXBLA24291,56694,55434,2021-07-29,2021-08-21,50394,2600,101,2001
XT611DXBLA12348,55780,54541,2021-07-29,2021-07-29,49582,2600,104,2002
XT641RXBLA17277,60868,59515,2021-07-29,2021-07-29,54105,2600,106,2005
XT661RXBLA15380,54586,53373,2021-01-01,2021-01-31,48521,2600,106,2005
XT641RXBLA27269,54262,53056,2021-03-01,2021-08-08,48233,2600,108,2003
XT671RXBLA16266,55252,54024,2021-01-01,2021-01-30,49113,2600,102,2004
XT661RXBLA25442,54656,53442,2021-01-01,2021-01-01,48583,2600,112,2005
XT671RXBLA26276,55328,54099,2021-05-21,2021-05-21,49181,2600,108,2003
XT661RXBLA15291,57786,56502,2021-04-25,2021-04-30,51365,2600,108,2003
XT641RXBLA27261,57772,56488,2021-01-01,2021-02-15,51353,2600,105,2000
XT661RXBLA15403,52038,50882,2021-03-15,2021-03-15,46256,2600,106,2005
XT641RXBLA17293,59648,58323,2021-05-21,2021-05-21,53021,2600,112,2005
XT621RXBLA24292,57188,55917,2021-01-01,2021-01-01,50834,2600,110,2004
XT611DXBLA12291,51833,50682,2021-04-01,2021-04-02,46074,2600,109,2002
XT621RXBLA14270,57007,55740,2021-01-01,2021-01-30,50673,2600,103,2001
